"ID"	"name"
"map05203"	"Viral carcinogenesis"
"map04714"	"Thermogenesis"
"map04910"	"Insulin signaling pathway"
"map00966"	"Glucosinolate biosynthesis"
"map05206"	"MicroRNAs in cancer"
"map04622"	"RIG-I-like receptor signaling pathway"
"map00944"	"Flavone and flavonol biosynthesis"
"map04550"	"Signaling pathways regulating pluripotency of stem cells"
"map00514"	"Other types of O-glycan biosynthesis"
"map00365"	"Furfural degradation"
"map00073"	"Cutin, suberine and wax biosynthesis"
"map00232"	"Caffeine metabolism"
"map00591"	"Linoleic acid metabolism"
"map00472"	"D-Arginine and D-ornithine metabolism"
